"f_72-1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
142.04,1,9.74,0.5,9.74,0
136.59,1,9.75,0.5,9.75,0
131.13,1,9.76,0.5,9.76,0
125.66,1,9.77,0.5,9.77,0
120.2,1,9.78,0.5,9.78,0
114.73,1,9.79,0.5,9.79,0
109.27,1,9.8,0.5,9.8,0
103.81,1,9.81,0.5,9.81,0
98.344,1,9.82,0.5,9.82,0
92.88,1,9.83,0.5,9.83,0
87.417,1,9.84,0.5,9.84,0
81.953,1,9.85,0.5,9.85,0
76.49,1,9.86,0.5,9.86,0
71.026,1,9.87,0.5,9.87,0
65.563,1,9.88,0.5,9.88,0
60.099,1,9.89,0.5,9.89,0
54.636,1,9.9,0.5,9.9,0
49.172,1,9.91,0.5,9.91,0
43.708,1,9.92,0.5,9.92,0
38.245,1,9.93,0.5,9.93,0
32.782,1,9.94,0.5,9.94,0
27.318,1,9.95,0.5,9.95,0
21.854,1,9.96,0.5,9.96,0
16.391,1,9.97,0.5,9.97,0
10.927,1,9.98,0.5,9.98,0
5.4637,1,9.99,0.5,9.99,0
4.2607e-13,1,10,0.5,10,0
